review_body,language,sentiment_label,product_category
"Très contente, j'en ai acheté 2 car mes 2 garçons ont un ordinateur à l'école. La qualité est très bonne, belle couleur.",fr,positive,pc
サイズはピッタリフィットしたけど、実際に使ってみると頭を傾けただけでよく滑り落ちる。 使用感は思っていたよりザラザラ（不快という程ではないが…）で快適ではなかった。 ただ、外して洗えたりするので汗をかく季節には重宝するかもしれない。,ja,negative,electronics
livré dans les délais semble solide a voir a l'usage,fr,positive,automotive
Une des deux boîtes des chargeurs était cassée.,fr,negative,camera
si ha cumplido mis espectativas.,es,positive,book
Produit jamais reçu mais payé......,fr,negative,furniture
"Leider dreht sich der Teller nur, wenn kein Kuchen darauf steht. Mit einer Sahnetorte lässt er sich kaum noch drehen. Außerdem eiert er ziemlich. Rücksendung ist leider auch mit 3,50€ recht teuer, sodass ich die Tortenplatte jetzt einfach zum servieren verwenden werde.",de,negative,home
他の方のレビューにもありましたが、ノイズが凄い。ほとんどテレビに映りません。線を曲げるなどし接触が安定すると映りましたが明らかな接触不良の品物です。使えません。即返品しました。,ja,negative,video_games
"Bin sehr zufrieden, werde wieder welche odern. Die Strümpfe sind angenehm zu tragen und erfüllen den Zweck. Ich empfinde sie angenehmer als lange Strümpfe, die bis zum Oberschenkel reichen.",de,positive,drugstore
This made to fit all seems to fit none well. Followed videos and still the blades do not stay attached. Tried on another vehicle with adapter and they stay on but are loose. Do not know how well they hold up because I could not use them.,en,negative,automotive
"Bedingt durch meine Kinder muss auch ich mich mit dem Thema ""Vegan"" beschäftigen. Mir hat dieses Buch sehr gut gefallen, da es das Thema auf den Punkt gebracht hat. Es sind gute und hilfreiche Tipps und auch einfache Rezepte - gerade für Einsteiger - dabei. Das Buch macht mir Mut - es anzugehen - meine Ernährung und die meiner Familie zu verändern. Ich kann dieses Buch nur weiter empfehlen.",de,positive,digital_ebook_purchase
"This would make a great travel mirror. However unfortunately, the lights were so bright I couldn’t see my face well about to apply makeup. The side mirrors were too small too!",en,negative,beauty
"Das Diskettenlaufwerk erfüllt gut meine Erwartungen, unter Windows 10 problemlos. Bin zufrieden mit dem Laufwerk und kann meine alten Dateien wieder gebrauchen. Danke.",de,positive,wireless
"Wie sinnlos ist das, das sie einen rasentrimmer ohne Akku verkaufen! 😠 Jetzt kommt noch dazu das man das ladegerät auch noch extra bestellen musste. Das allerdings erst im juli lieferbar. Für mich ist das die totale verarschung! Nie wieder! Das ist so wie wenn man ein Auto ohne Reifen kaufen würde. Man kauft sich dann halt die Reifen dazu und dann wird einen gesagt das man das Lenkrad auch noch bestellen müsste! Das soetwas überhaupt erlaubt ist! Auf jeden fall hab ich jetzt einen rasentrimmer zum anschauen zu Hause! Es ist wirklich das beste wenn man zum lokalen Fachhändler geht und sich einfach die Dinge kauft die man braucht! Grrrrrr",de,negative,home_improvement
La que pedí va bien pero me a venido una distinta a la que pedí,es,negative,home
"Je suis avec les écouteurs filaires de Apple sur mon iPhone. Je voulais des bons écouteurs sans fil pour la salle de sport. Le rendu musical est très pauvre et basse inexistantes. je penses que le prix de ces écouteurs vient en faite du système sans fil et de recharge. A part ca niveau écoute, c'est vraiment très décevant, surtout après le descriptif et les images laissant imaginer une qualité de son bien meilleure. Vraiment déçue, un achat pour rien, je retrouve à mes écouteurs filaires.",fr,negative,wireless
尺码偏大，而且页面描述和实际大小有差别，不应该啊，能不能用点心。,zh,positive,shoes
Ha durado 4 días. El engranaje de carga al ser de plástico se ha deteriorado con bastante facilidad así que ya no puedo cargarla,es,negative,toy
va muy bien y el efecto frio ahora en verano ayuda,es,positive,drugstore
The color balance and quality of the image are great! Love it.,en,positive,pc
Le support est parfaitement collé au mur mais l'armature en fer ne fait que se détacher et tomber sans forcément que les savons soient lourds. Je ne conseille pas cet achat qui est obsolète au bout de quelques mois.,fr,negative,home
"Ich bedaure mit dem Rasieren im Gesichtsbereich angefangen zu haben. Die Haare sind sofort wieder da. Und dann muss man sich entscheiden, eine Zeit lang mit kurzen Haarstoppeln rumzulaufen, bis sie wieder länger sind und eigentlich unauffälliger als die kurzen Haarstoppel oder sich ab diesem Zeitpunkt dauerhaft rasieren.",de,negative,personal_care_appliances
注册难度极大，作为计算机专业毕业的本科生加在一起花了两个小时，现在还没弄好。刚电脑显示注册成功，我饱含热泪用颤抖的手打开开关，显示的还是“请注册”。是的，买了俩月了我还没欣赏过里面的内容。不知道设计出这么一个逆天反人类的产品是何用意。不说了，我继续注册去了。问了天猫店，说不出一二三。这种根本不能用的产品还在卖是对消费者不负责任吧！,zh,negative,office_product
穿脱比较费劲，不过在运动中能提供良好支撑,zh,positive,apparel
I had to purchase new headphones for my college piano course immediately. Shipping was in a timely manner. The sound on my electric piano is very vibrant and clean. The war piece is soft but could use a thicker cushion.,en,positive,electronics
This was a cute set. My daughter loved it. Shes 8 years old. The size was pretty true. I ordered her a size 14 as she is tall for her age and it fit great.,en,positive,apparel
